,norm,E_te,E_tr,n_tr,tau,method
0,2655.5167992150627,2.201719377289819,0.049546120066955114,1000,0.05,rreg
1,1826.627783182835,1.8737126239067838,0.10359109335177814,1000,0.1,rreg
2,1241.3228897451424,1.5225967923224593,0.14504442438984072,1000,0.15,rreg
3,977.7420915206155,1.5511127213044147,0.2226986077735136,1000,0.2,rreg
4,711.9681896079128,1.4513490959136983,0.2450610614399564,1000,0.25,rreg
5,516.7692479117042,1.2715498405012386,0.3090071422014383,1000,0.3,rreg
6,382.4764551420506,1.3413820701107801,0.32198280484760994,1000,0.35,rreg
7,308.865986243789,1.1963282755547704,0.4573337722828501,1000,0.39999999999999997,rreg
8,211.3192671138377,1.1214563001821867,0.459687647823694,1000,0.44999999999999996,rreg
9,163.3522197940258,1.225813749708695,0.5021040291367133,1000,0.49999999999999994,rreg
10,104.57785389995001,1.1169536776919478,0.5288896606890566,1000,0.5499999999999999,rreg
11,73.47874222513613,1.0791974170836265,0.5826268151119097,1000,0.6,rreg
12,52.84221532470036,1.164919310508045,0.6533512306242585,1000,0.65,rreg
13,31.533535659346157,1.0350415182441557,0.683643655779022,1000,0.7,rreg
14,19.032787001109934,1.0403781045409144,0.7252454473811187,1000,0.75,rreg
15,10.821497209338004,1.0900825662632327,0.7757644845726968,1000,0.7999999999999999,rreg
16,5.148751934764217,1.0603657974264322,0.7467813195632563,1000,0.85,rreg
17,1.8732293078678535,0.9463926159128259,0.8722112381400849,1000,0.9,rreg
18,0.4441149185231261,1.0044706409001312,0.9743267059136078,1000,0.95,rreg
19,2.540399259596762e-07,0.9875561395119503,1.0476401437844856,1000,1.0,rreg
