,norm,E_te,E_tr,n_tr,tau,method
0,3032.013410426127,2.2165570421702605,0.048663207605011784,1000,0.05,rreg
1,1735.8609858851064,1.8956741139442337,0.08677530937800149,1000,0.1,rreg
2,1267.3585528171425,1.5800122608816598,0.15607190526921316,1000,0.15,rreg
3,982.1714536842505,1.5125038824954826,0.20580439703275272,1000,0.2,rreg
4,692.2872750103702,1.4266110947812245,0.25326555526890265,1000,0.25,rreg
5,486.9456314207495,1.411462091576795,0.3004747707829196,1000,0.3,rreg
6,399.83377346162837,1.193202433788449,0.38375383318537787,1000,0.35,rreg
7,284.85422537389,1.2578277519129764,0.3964057384144295,1000,0.39999999999999997,rreg
8,237.24734911776684,1.2300127766254711,0.4921600441179467,1000,0.44999999999999996,rreg
9,152.4372874978147,1.1691329596045592,0.4805164427597151,1000,0.49999999999999994,rreg
10,108.95568012978497,1.0998636198185086,0.5610243392621647,1000,0.5499999999999999,rreg
11,75.48304026348056,1.1068945402393637,0.6311768810726894,1000,0.6,rreg
12,52.62633579517404,1.0362893809354663,0.6602714411949412,1000,0.65,rreg
13,34.753210475227924,1.0959580276816938,0.6975464762621971,1000,0.7,rreg
14,18.289285629355557,1.1014933755957903,0.6726338695476017,1000,0.75,rreg
15,10.960276266349817,1.0383837320933063,0.8168195943701366,1000,0.7999999999999999,rreg
16,5.561789316123366,1.0548260275295946,0.9055447266450126,1000,0.85,rreg
17,2.174262386925964,1.0213290489300941,0.8517256141447547,1000,0.9,rreg
18,0.35847779125332146,0.9852815204964915,1.000665784028229,1000,0.95,rreg
19,4.134586895768964e-07,1.0202856907434752,0.990105483533817,1000,1.0,rreg
