,norm,E_te,E_tr,converged,n_tr,tau,method
0,562.8620169168214,1.3939927148339744,0.17614325461270375,True,200,0.2,mlp
1,568.2688004052959,1.3445157075779415,0.17084128133554874,True,237,0.2,mlp
2,582.2803419859323,1.4236009942438153,0.18610672786893903,True,281,0.2,mlp
3,590.7059873747054,1.345876343225577,0.18755029405627424,True,333,0.2,mlp
4,593.3592906352234,1.2040033140647253,0.18065623220041166,True,394,0.2,mlp
5,601.4871725054591,1.4462276281683868,0.179374526285255,True,467,0.2,mlp
6,619.5245263892008,1.3027753234005568,0.18911861581702272,True,553,0.2,mlp
7,619.7410605971523,1.3057599797450448,0.17844494182440368,True,655,0.2,mlp
8,629.2467953776496,1.4299313925278392,0.19486379831699363,True,776,0.2,mlp
9,637.0149735119088,1.211714879014002,0.18915885918046413,True,919,0.2,mlp
10,686.7535342282902,1.3459076588305885,0.19005801047762913,True,1089,0.2,mlp
11,651.455426159742,1.3365601187707958,0.19013379337377465,True,1290,0.2,mlp
12,702.9586411533727,1.378618007349052,0.18411571134385354,True,1528,0.2,mlp
13,724.1223229571672,1.218263430891558,0.1995695304669841,True,1810,0.2,mlp
14,736.7839326632144,1.3947956729750162,0.19875926214727516,True,2144,0.2,mlp
15,750.9162994407184,1.3358471702706143,0.17072733736813575,True,2540,0.2,mlp
16,787.2826461574211,1.1615373347921143,0.19137632736016785,True,3008,0.2,mlp
17,870.8567262649412,1.3363492193879825,0.1931427887688238,True,3564,0.2,mlp
18,805.4914708681249,1.229265278463281,0.1887658719695245,True,4221,0.2,mlp
19,825.0976669232195,1.342932069667858,0.17675687321471242,True,5000,0.2,mlp
