,norm,E_te,E_tr,converged,n_tr,tau,method
0,561.8638987173371,1.5562726574307604,0.18960805016261387,True,200,0.2,mlp
1,567.355315534336,1.235253672668352,0.18115126964032247,True,237,0.2,mlp
2,579.7210767918791,1.4326074708693868,0.19360791089447177,True,281,0.2,mlp
3,591.4172371040506,1.356044410387417,0.1981666134448924,True,333,0.2,mlp
4,593.3457526794734,1.4510454968488804,0.1937120994130251,True,394,0.2,mlp
5,608.1552385185199,1.219683514268998,0.1786574981062503,True,467,0.2,mlp
6,619.0002041343039,1.3343995579000312,0.19967700419698187,True,553,0.2,mlp
7,623.883255675314,1.2867005644570808,0.18244530149351684,True,655,0.2,mlp
8,630.0081699029979,1.4440304067145433,0.1817410993455175,True,776,0.2,mlp
9,638.1626362416829,1.3403611678702598,0.1830162760043592,True,919,0.2,mlp
10,687.2922249836188,1.3808035342033358,0.19504247489516346,True,1089,0.2,mlp
11,652.3838740798383,1.2894609020489143,0.19809828423970094,True,1290,0.2,mlp
12,689.8007964256448,1.3565300091286958,0.18225732121089963,True,1528,0.2,mlp
13,717.915522127473,1.381152858271608,0.18968439918931404,True,1810,0.2,mlp
14,733.9517080201472,1.2495043930373448,0.18909503582858772,True,2144,0.2,mlp
15,731.0018176936815,1.2694913772726284,0.1900780915005172,True,2540,0.2,mlp
16,784.5607909584877,1.1544666312866931,0.1790705408766125,True,3008,0.2,mlp
17,853.0510689994469,1.3303182400040026,0.1902113137013622,True,3564,0.2,mlp
18,844.6780799858898,1.393129610113024,0.1784520286905914,True,4221,0.2,mlp
19,845.8360354230381,1.336378197381767,0.18209910147719208,True,5000,0.2,mlp
