,norm,E_te,E_tr,converged,n_tr,tau,method
0,559.6597333876149,1.3038664680850576,0.1786390358804413,True,200,0.2,mlp
1,566.3674618958531,1.3525934563307207,0.17825419070186158,True,237,0.2,mlp
2,582.0237124150368,1.2753876065714607,0.19684334460997616,True,281,0.2,mlp
3,587.8663534519663,1.3156317503692836,0.18454093424329523,True,333,0.2,mlp
4,592.9386658494335,1.2495249488573077,0.18752584975482814,True,394,0.2,mlp
5,599.3858805153545,1.3713641028187022,0.18155293894413355,True,467,0.2,mlp
6,624.9430966305183,1.4174743157556662,0.18370915304245883,True,553,0.2,mlp
7,620.5030133377632,1.2809480135343616,0.17993875015144345,True,655,0.2,mlp
8,631.1507579608609,1.4206327547445876,0.18369159457044348,True,776,0.2,mlp
9,636.0105452142485,1.3490571082709795,0.1891157728242434,True,919,0.2,mlp
10,689.9067912821149,1.3443228628602433,0.1881941150905211,True,1089,0.2,mlp
11,650.2513513503529,1.5426283562737266,0.19115774934213844,True,1290,0.2,mlp
12,691.853339147365,1.33046866993471,0.18472962642177246,True,1528,0.2,mlp
13,728.4553001722803,1.2733312289034624,0.1941386266762659,True,1810,0.2,mlp
14,738.8503261601226,1.3422484239971086,0.17899613664131692,True,2144,0.2,mlp
15,742.1447723726716,1.3658727854414345,0.18943592126990932,True,2540,0.2,mlp
16,787.2919813418182,1.2125091883847343,0.1991270832498553,True,3008,0.2,mlp
17,869.4572719860612,1.323064943304435,0.18621922305321115,True,3564,0.2,mlp
18,834.7572228026036,1.4651408812918905,0.17790585128011746,True,4221,0.2,mlp
19,827.8161290922229,1.2767417094227276,0.19870609843663034,True,5000,0.2,mlp
