,norm,E_te,E_tr,converged,n_tr,tau,method
0,561.226215242329,1.3949002213409307,0.19663698207795105,True,200,0.2,mlp
1,569.1150255747699,1.1706350502417544,0.18097873409486878,True,237,0.2,mlp
2,579.526787667291,1.2921033246448987,0.1864338998943232,True,281,0.2,mlp
3,588.2482129864435,1.1885807727070927,0.16537954401915542,True,333,0.2,mlp
4,594.1906288195265,1.3828859749349516,0.17507404516212421,True,394,0.2,mlp
5,604.5746555247349,1.3730542524594835,0.19274296874397784,True,467,0.2,mlp
6,622.2582398761676,1.2609741261116325,0.19673008796216715,True,553,0.2,mlp
7,624.5981909913086,1.331057656712684,0.19354389767275978,True,655,0.2,mlp
8,631.036999079394,1.4281974580234034,0.1889051223200378,True,776,0.2,mlp
9,639.1917846856918,1.1963399127555505,0.18087171186836346,True,919,0.2,mlp
10,670.8878255922896,1.2777533886458277,0.19609592129956233,True,1089,0.2,mlp
11,651.0919481568653,1.3309902704080905,0.16980116206010706,True,1290,0.2,mlp
12,693.6698870500716,1.2829434786492484,0.19768489817581686,True,1528,0.2,mlp
13,725.8382191632924,1.3734949385333466,0.19953566992574054,True,1810,0.2,mlp
14,733.6349265157769,1.332210517684269,0.18338820992110536,True,2144,0.2,mlp
15,749.0597021880868,1.4122979189973845,0.19075898116909124,True,2540,0.2,mlp
16,796.7901869111646,1.2649592515155241,0.17993775546191998,True,3008,0.2,mlp
17,855.7906799399947,1.3609748435352254,0.1861227332370928,True,3564,0.2,mlp
18,806.2372163847157,1.2908935939225548,0.19660974158766154,True,4221,0.2,mlp
19,831.7536781436895,1.3500348277885397,0.19439703046213794,True,5000,0.2,mlp
