,norm,E_te,E_tr,converged,n_tr,tau,method
0,802.0454369536949,1.1293854046951826,0.049309745517843374,True,1000,0.05,mlp
1,716.139222889305,1.1824615962246638,0.09691318688740648,True,1000,0.1,mlp
2,607.782134001834,1.1743106743636076,0.1482218787201896,True,1000,0.15,mlp
3,551.0188442776727,1.1769223181210855,0.19860497063643945,True,1000,0.2,mlp
4,518.0228600211975,1.1058792402349953,0.24639950031419056,True,1000,0.25,mlp
5,464.5399562281615,1.0821119854884595,0.2942949306475201,True,1000,0.3,mlp
6,418.5824398893921,1.1350456476365238,0.349728006828441,True,1000,0.35,mlp
7,358.0615237722078,0.9899330251678391,0.38933008068813735,True,1000,0.39999999999999997,mlp
8,335.10965796883454,1.0299956071513463,0.44277185821401055,True,1000,0.44999999999999996,mlp
9,339.05437404030556,1.1167957509721889,0.49407043073530665,True,1000,0.49999999999999994,mlp
10,279.1568223790977,1.0729222019446816,0.5420040270596305,True,1000,0.5499999999999999,mlp
11,298.266545076894,1.121739131758814,0.5977705890694001,True,1000,0.6,mlp
12,258.0359136925282,0.9958003405625875,0.6399060524894998,True,1000,0.65,mlp
13,235.0602784323016,1.019544116766998,0.6961813852259854,True,1000,0.7,mlp
14,226.5241965551586,1.0203209018731754,0.740201378707179,True,1000,0.75,mlp
15,227.1617237220743,1.065123615886945,0.7897972579808468,True,1000,0.7999999999999999,mlp
16,192.37280258847582,1.0608970373019673,0.842384699565039,True,1000,0.85,mlp
17,204.3493763422147,1.0036456586604516,0.886805265867625,True,1000,0.9,mlp
18,202.34065443930194,1.0328041331750684,0.9346316371271867,True,1000,0.95,mlp
19,191.41776216631337,1.0384419758548202,0.9813605007894034,True,1000,1.0,mlp
