,norm,E_te,E_tr,converged,n_tr,tau,method
0,746.1117600429002,1.1730971932436534,0.04968755768011512,True,1000,0.05,mlp
1,650.5465161720115,1.2490199307077587,0.09552323871275033,True,1000,0.1,mlp
2,616.8953254312705,1.240109725979385,0.14760077385477,True,1000,0.15,mlp
3,550.3508910403917,1.1091909153414072,0.1971070047498811,True,1000,0.2,mlp
4,496.93086737182233,1.1636052449523597,0.24254658565304565,True,1000,0.25,mlp
5,484.9138598457521,1.144146010386778,0.2990107914142841,True,1000,0.3,mlp
6,423.68901854099937,1.0732378227871018,0.3451057328833821,True,1000,0.35,mlp
7,372.618965140824,1.0987523307218117,0.39607256059060203,True,1000,0.39999999999999997,mlp
8,356.92940456948276,1.1328878507781859,0.4447375654338216,True,1000,0.44999999999999996,mlp
9,331.14286741812293,1.034687012988758,0.4973351882822066,True,1000,0.49999999999999994,mlp
10,290.29678183202816,0.9913029649766679,0.5477224865328351,True,1000,0.5499999999999999,mlp
11,283.5343912686171,1.075854431859005,0.5893371421773879,True,1000,0.6,mlp
12,262.57196634949247,1.0468915146514086,0.6472333775172747,True,1000,0.65,mlp
13,258.3116052904209,1.0355155767793407,0.6851932000308888,True,1000,0.7,mlp
14,240.02799493472895,0.9969001171518237,0.7375255584556125,True,1000,0.75,mlp
15,219.57688884483645,1.0819258159539946,0.7967484574886664,True,1000,0.7999999999999999,mlp
16,212.95484406048695,0.9790616827359688,0.8469635635904813,True,1000,0.85,mlp
17,197.95825408138663,0.9990490059964459,0.8923298859997183,True,1000,0.9,mlp
18,190.65945208057957,1.0452804618003153,0.9488157742096734,True,1000,0.95,mlp
19,192.33082030871827,1.089730517368783,0.9842608843032911,True,1000,1.0,mlp
