,norm,E_te,E_tr,converged,n_tr,tau,method
0,799.886482079867,1.2651862041535002,0.048665656756734725,True,1000,0.05,mlp
1,719.6703450869375,1.270075547352925,0.09675018813631422,True,1000,0.1,mlp
2,598.946318306282,1.202715739527792,0.1497188155998174,True,1000,0.15,mlp
3,577.3955796156426,1.2053507027118324,0.1918544074262225,True,1000,0.2,mlp
4,527.6742886405854,1.1152498620253741,0.24658955421841436,True,1000,0.25,mlp
5,441.6693822404461,1.2899695187085463,0.297794050989062,True,1000,0.3,mlp
6,409.198393916384,1.0890291743317497,0.3426894313048606,True,1000,0.35,mlp
7,384.56908686246373,1.1522651315854573,0.39258437275339264,True,1000,0.39999999999999997,mlp
8,374.9553871640201,1.064291342838381,0.4437306048146844,True,1000,0.44999999999999996,mlp
9,323.3875358227274,1.121386338414123,0.4944518052423646,True,1000,0.49999999999999994,mlp
10,303.7294044980702,1.1499786626281034,0.5449296256536565,True,1000,0.5499999999999999,mlp
11,284.34639371041726,1.1229462822856862,0.5896927549749124,True,1000,0.6,mlp
12,252.58653256524255,1.0110921946649218,0.6462020856885524,True,1000,0.65,mlp
13,233.78060874394427,1.0575044758958623,0.6901204041356995,True,1000,0.7,mlp
14,219.89840742792714,1.053115864412158,0.7441715529185486,True,1000,0.75,mlp
15,212.79398106537286,1.0317174590997016,0.7869075040753567,True,1000,0.7999999999999999,mlp
16,200.12447619149458,0.8983791321343563,0.841984293767745,True,1000,0.85,mlp
17,202.14012643327214,0.9970592627509794,0.8966739235663028,True,1000,0.9,mlp
18,190.25500909713017,1.0438841070756975,0.9440500405215069,True,1000,0.95,mlp
19,190.71648011418512,1.0554317445648216,0.9833453622048588,True,1000,1.0,mlp
