,norm,E_te,E_tr,converged,n_tr,tau,method
0,1479.5580791608884,1.46486926146768,0.04794574003631605,True,1000,0.05,mlp
1,1423.838984454985,1.46856100924637,0.09742305602493094,True,1000,0.1,mlp
2,1192.722319267444,1.3024678804741514,0.14902611291146584,True,1000,0.15,mlp
3,1218.0165466375338,1.4704426373007227,0.19024556258438186,True,1000,0.2,mlp
4,1238.9157647667157,1.3031310983563935,0.24917229893543588,True,1000,0.25,mlp
5,1073.1178691500877,1.4560629763579769,0.29411239740405837,True,1000,0.3,mlp
6,1112.073647390934,1.2440094227699454,0.34508272720285005,True,1000,0.35,mlp
7,1021.3936884722956,1.3640050889233133,0.3976269182123904,True,1000,0.39999999999999997,mlp
8,1019.6190102534746,1.3089713806659782,0.4298862635496615,True,1000,0.44999999999999996,mlp
9,970.5529191676497,1.3297413948275436,0.4981631388529815,True,1000,0.49999999999999994,mlp
10,943.8788535051202,1.2985540831826505,0.5164256949645771,True,1000,0.5499999999999999,mlp
11,883.108372281127,1.2801072803952993,0.5815645585111797,True,1000,0.6,mlp
12,843.8332501239539,1.263873662089165,0.6397360960787084,True,1000,0.65,mlp
13,818.4826438976683,1.0395670518195639,0.6825217513409145,True,1000,0.7,mlp
14,821.2366751356567,1.1384761285019727,0.7439534921418126,True,1000,0.75,mlp
15,785.0420241972996,1.0961793882222672,0.7954925646831756,True,1000,0.7999999999999999,mlp
16,735.9183133567204,1.1684998275392042,0.8296924820706846,True,1000,0.85,mlp
17,604.316612034834,1.1214898974728715,0.8998016157663858,True,1000,0.9,mlp
18,594.5875403998814,1.0078863096783894,0.9497084773999891,True,1000,0.95,mlp
19,589.477327132568,1.0161948115316024,0.9989629809078397,True,1000,1.0,mlp
