,norm,E_te,E_tr,converged,n_tr,tau,method
0,1380.1402465612869,1.5599489912169613,0.04855320320133869,True,1000,0.05,mlp
1,1358.9070402897457,1.4543644568499268,0.09613759177747289,True,1000,0.1,mlp
2,1185.1314581478296,1.3788600526683634,0.14707478508726382,True,1000,0.15,mlp
3,1197.3448949350327,1.4556650599555134,0.19898766221185388,True,1000,0.2,mlp
4,1099.3132356016856,1.3854467562413693,0.23970236151280855,True,1000,0.25,mlp
5,1079.9885144594448,1.418663314431635,0.2912970614144733,True,1000,0.3,mlp
6,1055.5810180352487,1.3740844162282637,0.34418561957783483,True,1000,0.35,mlp
7,1050.2860335355954,1.274915540918898,0.38538620960533765,True,1000,0.39999999999999997,mlp
8,1045.3491189564488,1.2697750243740469,0.4252886805552788,True,1000,0.44999999999999996,mlp
9,915.5051499919206,1.2530955289964203,0.4978719706717625,True,1000,0.49999999999999994,mlp
10,939.5148040542529,1.3758916921062907,0.5486110058034126,True,1000,0.5499999999999999,mlp
11,895.8681124693408,1.2048136161509124,0.5915722529849271,True,1000,0.6,mlp
12,812.987385200535,1.2227013583738684,0.62769539018584,True,1000,0.65,mlp
13,796.8330173337306,1.2391051470434673,0.6934184758847084,True,1000,0.7,mlp
14,794.8365176440437,1.2012943308453379,0.7356497597458338,True,1000,0.75,mlp
15,745.581692658553,1.0710574210579278,0.7917769854116293,True,1000,0.7999999999999999,mlp
16,672.5186187482564,0.9982713085441514,0.84195990449626,True,1000,0.85,mlp
17,688.5528281647926,1.0541422286107063,0.8957224572253376,True,1000,0.9,mlp
18,590.3061667006084,1.0681791198496198,0.9130903020904222,True,1000,0.95,mlp
19,589.912669400847,1.0361194844079626,0.9991375055322906,True,1000,1.0,mlp
