,norm,E_te,E_tr,n_tr,tau,method
0,134.24955416316976,1.7675649222285925,0.20036989888695772,200,0.2,rreg
1,118.61147090368273,1.4814319885455416,0.17318023555392073,200,0.2,rreg
2,151.82377497499508,1.5745038011989667,0.19461607418244964,237,0.2,rreg
3,171.68976526271706,1.4168346317023313,0.2118359731490293,237,0.2,rreg
4,214.1517177300553,1.6459058538915277,0.18735200301865138,281,0.2,rreg
5,243.7206286324234,1.4698110041724515,0.2512583373764227,281,0.2,rreg
6,208.55214587691816,1.6396015048541095,0.1920021353077263,333,0.2,rreg
7,248.2163314405361,1.5439983510383364,0.21837224788558338,333,0.2,rreg
8,301.9677054874409,1.4933241695898452,0.20576562820479097,394,0.2,rreg
9,272.5843213804494,1.5710164282200674,0.17699916251429856,394,0.2,rreg
10,340.27276718909036,1.4431037328885359,0.20406724452161498,467,0.2,rreg
11,386.153725186617,1.4822171011623515,0.20191201219101226,467,0.2,rreg
12,466.36209103979184,1.7889768310564886,0.20742792475875999,553,0.2,rreg
13,439.62243647468375,1.4105433313121787,0.21894280891984574,553,0.2,rreg
14,572.9601845549543,1.5517391689456268,0.2069892703129749,655,0.2,rreg
15,604.3008496105145,1.6239872091991583,0.21208841526287708,655,0.2,rreg
16,703.6439270717192,1.574455593638666,0.20662833509734646,776,0.2,rreg
17,684.4547574221182,1.5634815556164325,0.21456103951528605,776,0.2,rreg
18,858.8533376072155,1.4415481588908035,0.20851489983245783,919,0.2,rreg
19,858.3302393375743,1.7403768783003808,0.20888498967245464,919,0.2,rreg
20,991.1199973945836,1.5385863412528507,0.19895921304852018,1089,0.2,rreg
21,1056.88102561884,1.5594484150744683,0.1969765145905748,1089,0.2,rreg
22,1350.4946290366258,1.5130682787475633,0.21634585165418851,1290,0.2,rreg
23,1316.7208027499012,1.6006185290435055,0.18971583443604592,1290,0.2,rreg
24,1475.6488296606728,1.5660987046423538,0.1669394829060864,1528,0.2,rreg
25,1522.601551013327,1.4913226558847386,0.2014439704098357,1528,0.2,rreg
26,1869.0394602337838,1.379669707837761,0.19098000167349974,1810,0.2,rreg
27,2098.104609763547,1.455721264702513,0.20374408888092482,1810,0.2,rreg
28,2486.4168781168555,1.4595595676307906,0.2014775882066263,2144,0.2,rreg
29,2368.06027219022,1.5713799795374852,0.2002848382899394,2144,0.2,rreg
30,2946.1957267769017,1.4963624443159862,0.20369325695277157,2540,0.2,rreg
31,3153.4855590728735,1.5501265356727414,0.20768565354350435,2540,0.2,rreg
32,3517.9054035197887,1.586643338521488,0.1967431567785444,3008,0.2,rreg
33,3782.910524301136,1.5896586274679017,0.20651814971739985,3008,0.2,rreg
34,4495.597036127573,1.5882730022826066,0.19754606974838193,3564,0.2,rreg
35,4411.557320042843,1.465022753795897,0.20243497799564134,3564,0.2,rreg
36,5508.084474842568,1.5926278349540994,0.19244746112713526,4221,0.2,rreg
37,5557.228748323762,1.5618105940827873,0.20042272426579955,4221,0.2,rreg
38,7194.328201240091,1.4877006841192164,0.2033455673544892,5000,0.2,rreg
39,6909.781025166034,1.444984928937865,0.19568994522017547,5000,0.2,rreg
