,norm,E_te,E_tr,converged,n_tr,tau,method
0,1281.0532005565262,1.268522150501786,0.19807109319278943,True,200,0.2,mlp
1,2049.021236527645,1.3094496863814258,0.1982513198691919,True,237,0.2,mlp
2,2161.256196470897,1.1011618440914246,0.19983509655063778,True,281,0.2,mlp
3,4919.362016188654,1.2521632100323792,0.19978303260151078,True,333,0.2,mlp
4,5021.219205900793,1.3656742388209804,0.19908150088430165,True,394,0.2,mlp
5,7484.511063793669,1.2627150614871823,0.19933923888237584,True,467,0.2,mlp
6,9016.68161912871,1.3115310214204114,0.1994246393044683,True,553,0.2,mlp
7,11330.142735914742,1.3076462352952545,0.19952716616990882,True,655,0.2,mlp
8,15601.256095839046,1.2716147560049373,0.19957295771382613,True,776,0.2,mlp
9,19985.051396879215,1.3155018193005639,0.199775344239941,True,919,0.2,mlp
10,26481.61612652573,1.3136649149307291,0.19952628151745025,True,1089,0.2,mlp
11,31456.41750417847,1.3213155224778521,0.19976188896876856,True,1290,0.2,mlp
12,43779.348943207355,1.4218232263745774,0.19886571865313385,True,1528,0.2,mlp
13,51577.04681279308,1.2906747378484098,0.1994275251070513,True,1810,0.2,mlp
14,66988.5035679999,1.2844144242230535,0.19905684690864445,True,2144,0.2,mlp
15,84043.0128902277,1.252733851290715,0.19944473105145372,True,2540,0.2,mlp
16,104957.2604868066,1.2573072499635025,0.1995888986479516,True,3008,0.2,mlp
17,151006.73791192035,1.284676946810998,0.1998377940438852,True,3564,0.2,mlp
18,178669.03614010915,1.240273528212496,0.1996006770707828,True,4221,0.2,mlp
19,201415.8904343084,1.2518696376631764,0.19932117759190052,True,5000,0.2,mlp
