,norm,E_te,E_tr,converged,n_tr,tau,method
0,1826.7377146709487,1.34284586435184,0.19919297977447886,True,200,0.2,mlp
1,2407.8625236512726,1.2631742164171835,0.19812473598272132,True,237,0.2,mlp
2,3836.7208834312896,1.2155179662701434,0.19856887483899735,True,281,0.2,mlp
3,4711.8162730409,1.513255420640063,0.19940746822425398,True,333,0.2,mlp
4,5997.957852281462,1.3401832651994432,0.1983124149168254,True,394,0.2,mlp
5,7332.307180300147,1.2448411441960578,0.19909847906544245,True,467,0.2,mlp
6,9015.428354380008,1.377017755666557,0.1987399585335805,True,553,0.2,mlp
7,12726.389230754305,1.285812057248784,0.1992302738020846,True,655,0.2,mlp
8,14216.238648607827,1.2604371645270467,0.19893943246526646,True,776,0.2,mlp
9,17142.905216839667,1.2550339162865418,0.19961222566876174,True,919,0.2,mlp
10,27146.11704208892,1.291217868342575,0.19870608150692345,True,1089,0.2,mlp
11,31023.1691805176,1.3291606870455852,0.19911893656197052,True,1290,0.2,mlp
12,43271.90468281252,1.260108232704744,0.1996027391954947,True,1528,0.2,mlp
13,59973.25768246775,1.2839003434893161,0.19886121684425384,True,1810,0.2,mlp
14,71178.26620262643,1.3552404301985566,0.19932592187833556,True,2144,0.2,mlp
15,84082.30777418986,1.3104166378219784,0.1990974970740029,True,2540,0.2,mlp
16,107393.38908763663,1.3783098258899587,0.19955529014216716,True,3008,0.2,mlp
17,132603.32568385117,1.3134225922721208,0.1995683496550652,True,3564,0.2,mlp
18,191274.61667906313,1.4018371131716312,0.1998867958700362,True,4221,0.2,mlp
19,223728.50966141868,1.4064991663540358,0.1995050881022835,True,5000,0.2,mlp
