,norm,E_te,E_tr,converged,n_tr,tau,method
0,2258.00726826846,1.3519011539321237,0.19882820763366754,True,200,0.2,mlp
1,2773.199054394289,1.367578149884591,0.19823117939407167,True,237,0.2,mlp
2,2855.7157526883852,1.225039095329313,0.19876578364471975,True,281,0.2,mlp
3,3473.9987673182845,1.346588396528672,0.19996198192929243,True,333,0.2,mlp
4,4973.27326719066,1.2519997909359042,0.19926290614820244,True,394,0.2,mlp
5,8705.087885932857,1.3530180691329843,0.19896110157227687,True,467,0.2,mlp
6,8822.918508404939,1.287622391237085,0.19985663465055478,True,553,0.2,mlp
7,11561.379233409361,1.2759999084139468,0.19966132821868546,True,655,0.2,mlp
8,14223.080496998396,1.3427003221413238,0.1993709749501939,True,776,0.2,mlp
9,21009.63167104143,1.1775235372413495,0.1993211670712259,True,919,0.2,mlp
10,23489.6719468633,1.2718772731144727,0.19944190007067583,True,1089,0.2,mlp
11,32589.508788481206,1.2168986350492401,0.19997752745432032,True,1290,0.2,mlp
12,40199.27028139016,1.160019913704894,0.19909393893819222,True,1528,0.2,mlp
13,58159.34656959388,1.359418004002418,0.1999102201353255,True,1810,0.2,mlp
14,71396.1430529935,1.2682819529919962,0.1998949481266065,True,2144,0.2,mlp
15,82518.21930945868,1.251721196704943,0.19983071672172031,True,2540,0.2,mlp
16,104312.96540567922,1.3138214035680558,0.1995672184254017,True,3008,0.2,mlp
17,145333.57694244976,1.3661312816351354,0.1995402471883657,True,3564,0.2,mlp
18,189966.35203372245,1.3310424645600145,0.19977410625783562,True,4221,0.2,mlp
19,230612.92579485365,1.2658897453155555,0.19928883576579423,True,5000,0.2,mlp
