,norm,E_te,E_tr,n_tr,tau,method
0,52880.82374370625,1.9187332787628166,0.1712852817883359,200,0.2,rreg
1,44036.45455289298,1.7436266997700605,0.14725878045253255,200,0.2,rreg
2,89089.54675402255,1.699727817509676,0.20519120267076021,237,0.2,rreg
3,84835.19497049689,1.9262978558944766,0.19330266931060747,237,0.2,rreg
4,134504.6298054238,1.6582903688468384,0.21199062935588533,281,0.2,rreg
5,136048.32901288455,1.9659541584901672,0.20761566499705592,281,0.2,rreg
6,207097.26574612464,1.9241319655774891,0.26847549438308244,333,0.2,rreg
7,221865.65553133935,1.8576459122312587,0.2328774156137102,333,0.2,rreg
8,322266.14550792566,1.764256934568793,0.19728138043609078,394,0.2,rreg
9,283187.8359617741,1.8157058767439267,0.18016556847791634,394,0.2,rreg
10,477407.3409843168,1.8682828994033016,0.1926225498983779,467,0.2,rreg
11,449056.95949933236,1.6704081530876764,0.21757393694268512,467,0.2,rreg
12,622649.5830629582,1.7682955285351687,0.1889727296361078,553,0.2,rreg
13,750987.4152260651,2.0331400027085578,0.2033477456405094,553,0.2,rreg
14,1147729.1305452955,1.769733487045557,0.18283528481379208,655,0.2,rreg
15,1059592.1344722663,1.7839241749378338,0.20799452004498198,655,0.2,rreg
16,1775021.837833307,1.9448307138771406,0.20827857726265803,776,0.2,rreg
17,1717504.0674542466,1.9024190862580799,0.18263379047955638,776,0.2,rreg
18,2477564.9817531505,1.706709553654042,0.19025763457456052,919,0.2,rreg
19,2496672.49976556,1.8685345420279191,0.19225068090595018,919,0.2,rreg
20,3607716.727923794,1.7123858109306016,0.18770436231348545,1089,0.2,rreg
21,3548150.8606405067,1.81252832006493,0.19747677965828575,1089,0.2,rreg
22,5734154.142843972,1.8949848039233574,0.18514480665272467,1290,0.2,rreg
23,5894791.427930036,1.8748385690952736,0.20488870228789474,1290,0.2,rreg
24,8224361.530528431,1.692790282306985,0.19692007979937712,1528,0.2,rreg
25,8360140.454141465,1.7666242477614433,0.18057191724052607,1528,0.2,rreg
26,12614553.077463327,1.6813837501796025,0.1751692704052494,1810,0.2,rreg
27,13006294.788593316,1.8744059393314556,0.19038964241792913,1810,0.2,rreg
28,19193997.412786637,1.7697788065323126,0.18718678805398206,2144,0.2,rreg
29,21368917.46657764,1.963632210538805,0.20102733300925668,2144,0.2,rreg
30,32811494.123303417,1.6805248482205475,0.20789519160735048,2540,0.2,rreg
31,30194877.11704833,1.835603820665433,0.1868578289954495,2540,0.2,rreg
32,48404323.77486371,1.7764023540046328,0.20128670124741993,3008,0.2,rreg
33,52048960.849976875,1.8583663927472749,0.2083975435144586,3008,0.2,rreg
34,75031846.26952292,1.8635914180208069,0.20567635753897343,3564,0.2,rreg
35,74671672.83518603,1.7508278030929445,0.20135623618804543,3564,0.2,rreg
36,116269098.1349382,1.7402064498580003,0.19966179424082622,4221,0.2,rreg
37,115618230.01314032,1.9280459930505796,0.20476851364987433,4221,0.2,rreg
38,171306093.43268564,1.7048157289383012,0.19774902020411878,5000,0.2,rreg
39,166425781.7826565,1.8561763746255524,0.1959647509815562,5000,0.2,rreg
