,norm,E_te,E_tr,n_tr,tau,method
0,62321.1731845656,2.044135753672867,0.26876232940133676,200,0.2,rreg
1,47130.82776808359,1.6456611271619026,0.16416547691597366,200,0.2,rreg
2,99530.06391949534,2.006337065141277,0.21728538161407596,237,0.2,rreg
3,64920.36981777083,1.8010546971925436,0.18740668164757168,237,0.2,rreg
4,135211.46014849085,1.6974649819989038,0.21733931697184233,281,0.2,rreg
5,135276.0947194151,1.9209499786731086,0.19222014697060674,281,0.2,rreg
6,190131.7325802246,1.8814480777972196,0.20428131606278477,333,0.2,rreg
7,189440.0663647631,1.8709051756010808,0.1926382954001073,333,0.2,rreg
8,313541.75751877745,1.8844136458539624,0.20459109291084038,394,0.2,rreg
9,308884.777100396,1.8359195315775627,0.20446015864702244,394,0.2,rreg
10,475576.0916636028,1.977920970984761,0.20598923276560593,467,0.2,rreg
11,437984.37362679234,1.9375572820764222,0.22110608162250522,467,0.2,rreg
12,735447.86945025,1.9043726763722937,0.1987161102863532,553,0.2,rreg
13,704550.4061722286,1.6824630420688056,0.21139764471680422,553,0.2,rreg
14,1063126.6083661022,2.029248845642366,0.1917467598673203,655,0.2,rreg
15,1092569.4287222188,1.7523507303151273,0.19797021287272146,655,0.2,rreg
16,1585765.9360106273,1.7129617115196274,0.17365922439899642,776,0.2,rreg
17,1566866.2536461435,1.7204108675758425,0.19596235407107854,776,0.2,rreg
18,2475238.631647862,1.7688577321519652,0.1905079339736289,919,0.2,rreg
19,2478738.491818631,1.858965090815716,0.18886186435196203,919,0.2,rreg
20,3823341.043445907,1.6155569183768483,0.20160768852902186,1089,0.2,rreg
21,3645804.633546022,1.736412446316463,0.205721678268958,1089,0.2,rreg
22,5826153.292643529,1.8502557816545517,0.19076867933779496,1290,0.2,rreg
23,5567497.537074954,1.7622227585064594,0.19136195553957375,1290,0.2,rreg
24,9196428.825118922,1.8289518468998616,0.21941651064570009,1528,0.2,rreg
25,8910969.35410603,1.8177637486621034,0.1929598339025997,1528,0.2,rreg
26,14001261.745012082,1.883304682778281,0.20390694783108781,1810,0.2,rreg
27,14015354.52975377,1.6604997382977476,0.19522784755529457,1810,0.2,rreg
28,20587080.92940365,1.7665743710237518,0.1909981527982134,2144,0.2,rreg
29,20166525.625981398,1.7484310538639156,0.19083243643248837,2144,0.2,rreg
30,30397265.848138526,1.8826251660562099,0.1877909004852853,2540,0.2,rreg
31,31113830.787130352,1.7848376761296476,0.19452286153955795,2540,0.2,rreg
32,49308319.19960036,1.8460575013139648,0.20615799795009057,3008,0.2,rreg
33,48455603.00554176,1.9181328314084998,0.20235160683411743,3008,0.2,rreg
34,76033900.95937495,1.7175348240217188,0.2162169330551926,3564,0.2,rreg
35,75826058.61590478,1.7954042920952757,0.21209976748524553,3564,0.2,rreg
36,112802252.50237146,1.8807894813932087,0.2039734451511763,4221,0.2,rreg
37,114411223.55930132,1.7705767553344036,0.20445572927180658,4221,0.2,rreg
38,170306802.82556593,1.7929049597550717,0.19885726698522754,5000,0.2,rreg
39,171709152.2791763,1.6345117497700778,0.19748626653678863,5000,0.2,rreg
