,norm,E_te,E_tr,converged,n_tr,tau,method
0,574.5350327849463,1.578987632003566,0.1907070660888769,True,200,0.2,mlp
1,617.852693323452,1.599649145483384,0.19478764747415234,True,237,0.2,mlp
2,641.6020938872301,1.3785529093225934,0.19611819209629888,True,281,0.2,mlp
3,667.8376342256429,1.5826980781871036,0.17705004914412742,True,333,0.2,mlp
4,686.6948870749436,1.5543895592734716,0.19901804718868357,True,394,0.2,mlp
5,772.8983425909953,1.523955440781845,0.1961309307062975,True,467,0.2,mlp
6,837.5183780691682,1.4586766641897868,0.19126874899628296,True,553,0.2,mlp
7,830.3758616467915,1.530424109603281,0.1826023756655574,True,655,0.2,mlp
8,1013.0074303356852,1.3859091899710143,0.19586924352771543,True,776,0.2,mlp
9,1015.4472233680473,1.4461557138601229,0.17503638696695728,True,919,0.2,mlp
10,1330.0639165965015,1.3639858335051918,0.19784369791501152,True,1089,0.2,mlp
11,1185.2955931880228,1.4805353420189835,0.19231036639441165,True,1290,0.2,mlp
12,1596.6434996874543,1.338388102505111,0.1976841192203336,True,1528,0.2,mlp
13,2149.73741553788,1.4978174481762132,0.18376219387144516,True,1810,0.2,mlp
14,2340.6284091634193,1.3822071070924264,0.19661925180638107,True,2144,0.2,mlp
15,2457.617823413219,1.386992636588801,0.18917719809902583,True,2540,0.2,mlp
16,2753.3474551518057,1.521242366755138,0.1946330714090552,True,3008,0.2,mlp
17,4005.8368538581285,1.478432510517906,0.19407342202526243,True,3564,0.2,mlp
18,4004.522873891797,1.5138025423318302,0.18370985864740835,True,4221,0.2,mlp
19,4423.318758213766,1.3186356334901101,0.18912716102664962,True,5000,0.2,mlp
