,norm,E_te,E_tr,converged,n_tr,tau,method
0,568.0357997371023,1.447760367902001,0.1899434398365208,True,200,0.2,mlp
1,606.8443139257363,1.446639288573044,0.1766001829323117,True,237,0.2,mlp
2,647.5839235102828,1.4247122049837495,0.19675882019398083,True,281,0.2,mlp
3,651.4412476867993,1.4446854091336137,0.18980489280372628,True,333,0.2,mlp
4,671.2599669813189,1.353831981642502,0.18806866262975142,True,394,0.2,mlp
5,723.1094667475743,1.6424913011258946,0.1968484522524833,True,467,0.2,mlp
6,875.9284297282882,1.5529789412506703,0.18527772561443806,True,553,0.2,mlp
7,844.7573938479868,1.4381978482897644,0.18983632867257763,True,655,0.2,mlp
8,1003.7397869832388,1.4350131362690912,0.1858082357544875,True,776,0.2,mlp
9,1015.3782553423636,1.3572529093123236,0.17817653687685533,True,919,0.2,mlp
10,1256.480653788274,1.3591050713781352,0.1967305509441629,True,1089,0.2,mlp
11,1244.2891187384575,1.4115897658736662,0.18432601363667825,True,1290,0.2,mlp
12,1568.3334765859458,1.5387386022753293,0.19012376389766467,True,1528,0.2,mlp
13,2140.4534458556614,1.5736387350882455,0.18760213014880603,True,1810,0.2,mlp
14,2349.8903810374495,1.4232647445668627,0.18593204752478368,True,2144,0.2,mlp
15,2399.963418455182,1.382021651709944,0.17864000166123933,True,2540,0.2,mlp
16,2992.451563801178,1.5591797847097475,0.1933505313159114,True,3008,0.2,mlp
17,4225.483857135662,1.4136566002433146,0.1955304272671247,True,3564,0.2,mlp
18,3674.30706835085,1.4917095681072459,0.1915976165084654,True,4221,0.2,mlp
19,4445.369621099933,1.42551921559908,0.18620115175660235,True,5000,0.2,mlp
