,norm,E_te,E_tr,converged,n_tr,tau,method
0,686.4001185014844,1.2656556019062695,0.0466046909881401,True,1000,0.05,mlp
1,672.9237464378019,1.3552651929805284,0.09973412629562001,True,1000,0.1,mlp
2,670.2663380198852,1.2978428083556732,0.14482414487326317,True,1000,0.15,mlp
3,660.5507913108373,1.121484405509974,0.19428962434215666,True,1000,0.2,mlp
4,652.2754423181248,1.1242274061170496,0.236498253906721,True,1000,0.25,mlp
5,646.3665111796844,1.2243112529804605,0.24670160577377567,True,1000,0.3,mlp
6,647.314770021476,1.1675798644842446,0.3054887508291448,True,1000,0.35,mlp
7,637.3954998097576,1.0949694780470913,0.3357334067300759,True,1000,0.39999999999999997,mlp
8,642.7195675901411,1.1888253729289382,0.39968371674362724,True,1000,0.44999999999999996,mlp
9,633.2171740700552,1.0107729739321445,0.48836909251317034,True,1000,0.49999999999999994,mlp
10,635.094324246299,1.16383277473592,0.5165605018558735,True,1000,0.5499999999999999,mlp
11,630.9900181639206,0.9740052204946335,0.5876846718407744,True,1000,0.6,mlp
12,619.8326356024338,1.0729298285216051,0.6142271261005117,True,1000,0.65,mlp
13,618.905062694134,1.0085065413419092,0.6926911756404455,True,1000,0.7,mlp
14,618.8690568712551,1.090270509604308,0.7061394093862473,True,1000,0.75,mlp
15,610.8785201431662,1.072063672549297,0.7942474099592394,True,1000,0.7999999999999999,mlp
16,602.3405483735595,1.0582236404577177,0.8453878564774591,True,1000,0.85,mlp
17,607.408448929909,0.999331976126222,0.8883157810517492,True,1000,0.9,mlp
18,604.7678357702426,1.0728845714110606,0.9428422628985884,True,1000,0.95,mlp
19,602.0935133112378,0.9874717000861237,0.995679827438974,True,1000,1.0,mlp
