,norm,E_te,E_tr,converged,n_tr,tau,method
0,215.80999802457927,1.1333531207436698,0.19919223409601272,True,200,0.2,mlp
1,230.0283295741275,1.1061342688188625,0.1961040564225822,True,237,0.2,mlp
2,257.60483297232395,1.2530386642951898,0.19256534850018325,True,281,0.2,mlp
3,301.4252139501374,1.0991500475084928,0.19589489634813959,True,333,0.2,mlp
4,309.47349233955885,1.0635927553722955,0.19961799599834926,True,394,0.2,mlp
5,370.2060741631344,1.2029892741586161,0.19251114975009265,True,467,0.2,mlp
6,356.53656685114385,1.1411167345798703,0.19458969788940164,True,553,0.2,mlp
7,412.5480863285331,1.1209676467762324,0.1917776861231028,True,655,0.2,mlp
8,468.5009725003658,1.2150206727171793,0.19523405446910452,True,776,0.2,mlp
9,580.1014699053097,1.2278569518887608,0.1921116773302252,True,919,0.2,mlp
10,558.8143325546588,1.1122115634369356,0.1923634526159331,True,1089,0.2,mlp
11,650.0773614774882,1.2348336817764989,0.19538669829003402,True,1290,0.2,mlp
12,823.5868147610603,1.3065808408480457,0.19230108318580863,True,1528,0.2,mlp
13,843.9688209198771,1.1101967228074676,0.19731300388751044,True,1810,0.2,mlp
14,978.3844727033529,1.174613244647982,0.19950804602077896,True,2144,0.2,mlp
15,1050.5838994721498,1.139385453610263,0.19709136364477406,True,2540,0.2,mlp
16,1329.8616675497083,1.0949640154461335,0.19893176013224229,True,3008,0.2,mlp
17,1614.5789941144697,1.1663956825431527,0.1952070348129397,True,3564,0.2,mlp
18,1955.0264762031795,1.1262450668429884,0.19585000602371347,True,4221,0.2,mlp
19,2185.420656132155,1.1014146891381913,0.19850752083102274,True,5000,0.2,mlp
