,norm,E_te,E_tr,converged,n_tr,tau,method
0,212.57518472400966,1.145044301003536,0.19341138339712316,True,200,0.2,mlp
1,236.65402196676206,1.1707611465814458,0.1961348167644907,True,237,0.2,mlp
2,278.2535734828898,1.1594584340731844,0.19122821578463775,True,281,0.2,mlp
3,271.3483942995022,1.090835825710817,0.19598836666946717,True,333,0.2,mlp
4,314.26809799333165,1.1652845895192059,0.1959286809546498,True,394,0.2,mlp
5,369.41624294707606,1.1441182348390397,0.19320771053355504,True,467,0.2,mlp
6,382.64955995769725,1.088311718889961,0.19171178694242552,True,553,0.2,mlp
7,443.1683234224337,1.1471622243822273,0.19650546094380955,True,655,0.2,mlp
8,481.2818895316888,1.1895825477789577,0.19337063062379253,True,776,0.2,mlp
9,526.5493773288332,1.1469984010409358,0.19714374165890305,True,919,0.2,mlp
10,577.44080715958,1.0683880403114754,0.1993243585665801,True,1089,0.2,mlp
11,640.1769590161712,1.10643869187672,0.19602766205784264,True,1290,0.2,mlp
12,817.5792890516664,1.1861089436631422,0.19736628775979181,True,1528,0.2,mlp
13,919.9311296822372,1.2006230649347835,0.19779582285465122,True,1810,0.2,mlp
14,973.9469766817909,1.1742375456799063,0.1938323293288783,True,2144,0.2,mlp
15,1086.5096141682463,1.194641697669672,0.19329726144637072,True,2540,0.2,mlp
16,1295.319676510815,1.209030651468966,0.19243084529675628,True,3008,0.2,mlp
17,1759.8374929787853,1.1517462552296929,0.19255041617109955,True,3564,0.2,mlp
18,1848.2781890422073,1.1592142836112116,0.19398269232627935,True,4221,0.2,mlp
19,2138.954096963815,1.0279705054869037,0.1990632980731885,True,5000,0.2,mlp
