,norm,E_te,E_tr,converged,n_tr,tau,method
0,215.13490024363537,1.1730148999577017,0.19969835549197007,True,200,0.2,mlp
1,243.0604526009249,1.2408990332910226,0.1906529931574186,True,237,0.2,mlp
2,246.64094831437143,1.2418341245699445,0.1969863713327519,True,281,0.2,mlp
3,295.6954607201262,1.129435343984052,0.19900014688368298,True,333,0.2,mlp
4,312.7966744876682,1.1253167176416305,0.19373092293033375,True,394,0.2,mlp
5,362.9407369447912,1.0468533558101984,0.1959252900031344,True,467,0.2,mlp
6,362.93892726664683,1.0486666886814542,0.19802541082100245,True,553,0.2,mlp
7,409.52027073586197,1.0191431444498862,0.1975858967137435,True,655,0.2,mlp
8,478.8206975944127,1.1221426616071253,0.197734557988619,True,776,0.2,mlp
9,522.89988078426,1.1670411852572746,0.19372060500570434,True,919,0.2,mlp
10,541.1514331204418,1.0438017767389711,0.19574628434431185,True,1089,0.2,mlp
11,670.7978581200668,1.1215048624667114,0.19370959548556255,True,1290,0.2,mlp
12,808.1586860337312,1.0804411320686635,0.19956357811592543,True,1528,0.2,mlp
13,852.8761417239824,1.1628350911389167,0.1965270256126974,True,1810,0.2,mlp
14,970.3289301138784,1.1865573012121482,0.192792065691333,True,2144,0.2,mlp
15,1044.8261943214889,1.1766761940045316,0.1939162971549228,True,2540,0.2,mlp
16,1276.536321696532,1.1553922663221228,0.19934219544475412,True,3008,0.2,mlp
17,1684.7944209803377,1.1723043620869298,0.1977867381759395,True,3564,0.2,mlp
18,1907.2769530282621,1.0971728119003046,0.19981394922638415,True,4221,0.2,mlp
19,2299.9578731647493,1.2024004021633137,0.19428193038118416,True,5000,0.2,mlp
