,norm,E_te,E_tr,converged,n_tr,tau,method
0,205.13144806074354,1.1421510499622336,0.19337163034815666,True,200,0.2,mlp
1,252.5169118306971,1.209130951192843,0.1925084600350951,True,237,0.2,mlp
2,273.1914926944146,1.1437272934875735,0.19936530483438872,True,281,0.2,mlp
3,298.50391454507104,1.2121407562470017,0.1992432601980631,True,333,0.2,mlp
4,309.7652462209557,1.0023312589233015,0.19570199222862694,True,394,0.2,mlp
5,369.1167266054946,1.2041146633867026,0.19696219138401738,True,467,0.2,mlp
6,394.1618701813065,1.1745997912035977,0.19542003964370666,True,553,0.2,mlp
7,432.1695287478531,1.2118411385042702,0.19317740341510747,True,655,0.2,mlp
8,445.04448594004464,1.0946326674131224,0.19452415464927175,True,776,0.2,mlp
9,518.0718753211655,1.1922074959527844,0.1928200723900118,True,919,0.2,mlp
10,539.9542408897304,1.1898390789862106,0.1974673241398344,True,1089,0.2,mlp
11,619.9998614760817,1.0653871609557737,0.19717047651017514,True,1290,0.2,mlp
12,801.9273675787416,1.165213656592242,0.196209260984266,True,1528,0.2,mlp
13,916.379242385399,1.2249237978744283,0.19301715152321663,True,1810,0.2,mlp
14,995.112977894083,1.175059225931123,0.19502091332398308,True,2144,0.2,mlp
15,1076.9393436610048,1.1787003808390637,0.19995122511735527,True,2540,0.2,mlp
16,1358.7165636611094,1.1325911963729223,0.19692270771941886,True,3008,0.2,mlp
17,1595.4014989315776,1.2028610624146767,0.19967646837675615,True,3564,0.2,mlp
18,1853.3054093936073,1.2101726486242228,0.1952333717285492,True,4221,0.2,mlp
19,2130.495438627512,1.0955942331488056,0.19887375834447804,True,5000,0.2,mlp
